shame_id,author_and_title,original_id,author,author_fname,author_lname,author_gender,title,word_count,publ_year,publ_year_clean,doc_link,source_corpus,comment
SHAME_204,Josip Kostanjevec-Življenja trnjeva pot,KDSP165,Josip Kostanjevec,Josip,Kostanjevec,M,Življenja trnjeva pot,43058,1907.0,1907.0,https://sl.wikisource.org/wiki/%C5%BDivljenja_trnjeva_pot,KDSP,
SHAME_205,Josip Ogrinec-Setev in žetev,KDSP018,Josip Ogrinec,Josip,Ogrinec,M,Setev in žetev,26385,1875.0,1875.0,https://sl.wikisource.org/wiki/Setev_in_%C5%BEetev,KDSP,
SHAME_206,Josip Ogrinec-Vojnimir ali poganstvo in krst,KDSP014,Josip Ogrinec,Josip,Ogrinec,M,Vojnimir ali poganstvo in krst,26482,1871.0,1871.0,https://sl.wikisource.org/wiki/Vojnimir_ali_poganstvo_in_krst,KDSP,
SHAME_207,"Josip Podmilšak-Amerika, ali povsod dobro - doma najboljše",KDSP009,Josip Podmilšak,Josip,Podmilšak,M,"Amerika, ali povsod dobro - doma najboljše",22418,1869.0,1869.0,"https://sl.wikisource.org/wiki/Amerika,_ali_povsod_dobro_%E2%80%94_doma_najbolj%C5%A1e",KDSP,
SHAME_208,Josip Podmilšak-Miha Brtoncelj in njegove čudovite dogodbe po svetu,KDSP011,Josip Podmilšak,Josip,Podmilšak,M,Miha Brtoncelj in njegove čudovite dogodbe po svetu,22941,1870.0,1870.0,https://sl.wikisource.org/wiki/Miha_Brtoncelj_in_njegove_%C4%8Dudovite_dogodbe_po_svetu,KDSP,
SHAME_209,"Josip Podmilšak-Sabinka, slovenska junakinja",KDSP024,Josip Podmilšak,Josip,Podmilšak,M,"Sabinka, slovenska junakinja",49736,1876.0,1876.0,"https://sl.wikisource.org/wiki/Sabinka,_slovenska_junakinja",KDSP,
SHAME_210,Josip Podmilšak-Žalost in veselje,KDSP010,Josip Podmilšak,Josip,Podmilšak,M,Žalost in veselje,76914,1870.0,1870.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00122.xml,KDSP,
SHAME_211,Josip Premk-Krona v višavi,KDSP223,Josip Premk,Josip,Premk,M,Krona v višavi,28992,1912.0,1912.0,https://sl.wikisource.org/wiki/Krona_v_vi%C5%A1avi,KDSP,
SHAME_212,Josip Premk-Letoviščarji,KDSP232,Josip Premk,Josip,Premk,M,Letoviščarji,20834,1913.0,1913.0,https://sl.wikisource.org/wiki/Letovi%C5%A1%C4%8Darji,KDSP,
SHAME_213,Josip Stare-Lisjakova hči,KDSP073,Josip Stare,Josip,Stare,M,Lisjakova hči,38504,1892.0,1892.0,https://sl.wikisource.org/wiki/Lisjakova_h%C4%8Di,KDSP,
SHAME_214,Josip Stare-Prvi sneg,KDSP054,Josip Stare,Josip,Stare,M,Prvi sneg,26511,1886.0,1886.0,https://sl.wikisource.org/wiki/Prvi_sneg_(Josip_Stare),KDSP,
SHAME_215,Josip Stare-Vanda,KDSP060,Josip Stare,Josip,Stare,M,Vanda,37585,1888.0,1888.0,https://sl.wikisource.org/wiki/Vanda_(Josip_Stare),KDSP,
SHAME_216,Josip Stare-Zadruga,KDSP066,Josip Stare,Josip,Stare,M,Zadruga,29756,1890.0,1890.0,https://sl.wikisource.org/wiki/Z%C3%A1druga,KDSP,
SHAME_217,Josip Stritar-Gospod Mirodolski,KDSP025,Josip Stritar,Josip,Stritar,M,Gospod Mirodolski,54447,1876.0,1876.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV10025.xml,KDSP,
SHAME_218,Josip Stritar-Kritična pisma,,Josip Stritar,Josip,Stritar,M,Kritična pisma,12197,,1867.0,https://lit.ijs.si/str_pism.html ,Wikivir - leposlovje,
SHAME_219,Josip Stritar-Literarni pogovori,,Josip Stritar,Josip,Stritar,M,Literarni pogovori,17429,1870.0,1870.0,https://lit.ijs.si/str_litp.html ,Wikivir - leposlovje,
SHAME_220,Josip Stritar-Rosana,,Josip Stritar,Josip,Stritar,M,Rosana,18438,1877.0,1877.0,https://lit.ijs.si/rosana.html ,Wikivir - leposlovje,
SHAME_221,Josip Stritar-Sodnikovi,KDSP032,Josip Stritar,Josip,Stritar,M,Sodnikovi,51013,1878.0,1878.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV10024.xml,KDSP,
SHAME_222,Josip Stritar-Zorin,KDSP012,Josip Stritar,Josip,Stritar,M,Zorin,27852,1870.0,1870.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV10023.xml,KDSP,
SHAME_223,Josip Vandot-Begunci,KDSP250,Josip Vandot,Josip,Vandot,M,Begunci,46796,1916.0,1916.0,https://sl.wikisource.org/wiki/Begunci_(Josip_Vandot),KDSP,
SHAME_224,Josip Vandot-Razor,KDSP237,Josip Vandot,Josip,Vandot,M,Razor,51406,1914.0,1914.0,https://sl.wikisource.org/wiki/Razor_(Josip_Vandot),KDSP,
SHAME_225,Josip Vandot-Vitranec,KDSP213,Josip Vandot,Josip,Vandot,M,Vitranec,20899,1911.0,1911.0,https://sl.wikisource.org/wiki/Vitranec,KDSP,
SHAME_226,Josip Vošnjak-Pobratimi,KDSP063,Josip Vošnjak,Josip,Vošnjak,M,Pobratimi,53763,1889.0,1889.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV10028.xml,KDSP,
SHAME_227,Jože Ambrožič-Ljubezen in sovraštvo,KDSP200,Jože Ambrožič,Jože,Ambrožič,M,Ljubezen in sovraštvo,38853,1911.0,1911.0,https://sl.wikisource.org/wiki/Ljubezen_in_sovra%C5%A1tvo,KDSP,
SHAME_228,Jože Ambrožič-Prekrščevalec,KDSP244,Jože Ambrožič,Jože,Ambrožič,M,Prekrščevalec,36249,1916.0,1916.0,https://sl.wikisource.org/wiki/Prekr%C5%A1%C4%8Devalec,KDSP,
SHAME_229,Jurij Vranič-Helena,KDSP017,Jurij Vranič,Jurij,Vranič,M,Helena,25154,1874.0,1874.0,https://sl.wikisource.org/wiki/Helena_(Jurij_Vrani%C4%8D),KDSP,
